Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Time,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08FCR228M,0,,6059341,,0,,22,0,,,0,0,23,,,0,0,0,507
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B0013DW4XO,0,,6047442,,0,,14,0,,,0,0,60,,,0,0,0,823
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B0013DZIAA,0,,6047443,,0,,14,0,,,0,0,62,,,0,0,0,851
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B0012QC5N6,0,,6047438,,0,,14,30,,,61,2,81,,,0,0,0,1111
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B003S7AY8U,0,,6047531,,0,,12,22,,,151,7,2,,,0,0,0,25
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B083FM5T43,0,,6055965,,0,,32,72,,,145,2,0,,,0,0,0,0
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B07M948SZM,0,,6052132,,0,,22,0,,,0,0,16,,,0,0,0,353
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B003S7J26U,0,,6047541,,0,,17,0,,,0,0,1,,,0,0,0,17
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B07CSL8LR8,0,,6050650,,0,,20,0,,,0,0,13,,,0,0,0,255
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B00IUEMZGA,0,,6048559,,0,,25,0,,,0,0,31,,,0,0,0,760
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B09CDZSCN6,0,,6059821,,0,,20,0,,,0,0,12,,,0,0,0,240
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B07NPKZML6,0,,6054272,,0,,22,0,,,0,0,5,,,0,0,0,110
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B00HV3XI5I,0,,6048330,,0,,10,22,,,88,4,0,,,0,0,0,0
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B078SWY49S,0,,6050368,,0,,12,26,,,52,2,32,,,0,0,0,392
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B078SY4BS1,0,,6050369,,0,,12,0,,,0,0,26,,,0,0,0,319
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B00S0WTJ48,0,,6048964,,0,,12,0,,,0,0,62,,,0,0,0,760
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B09QH5MQ7X,0,,6063507,,0,,15,0,,,0,0,70,,,0,0,0,1050
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B00TF7YVHW,0,,6049032,,0,,8,15,,,45,3,131,,,0,0,0,983
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B09CQBZL2Y,0,,6058910,,0,,8,21,,,21,1,72,,,0,0,0,540
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08FCQKJ27,0,,6058915,,0,,15,0,,,0,0,4,,,0,0,0,59
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B004MFVL34,0,,6047556,,0,,12,34,,,101,3,72,,,0,0,0,847
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08QSLLGDL,0,,6061147,,0,,12,25,,,50,2,12,,,0,0,0,147
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08F7TSB3H,0,,6058949,,0,,12,25,,,25,1,15,,,0,0,0,184
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08F7TM9R6,0,,6058950,,0,,12,26,,,26,1,16,,,0,0,0,196
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08QSMNZTT,0,,6061148,,0,,12,25,,,100,4,18,,,0,0,0,221
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08F7WVXK9,0,,6058948,,0,,12,0,,,0,0,6,,,0,0,0,74
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08FCQ4ZB2,0,,6059818,,0,,12,30,,,61,2,16,,,0,0,0,196
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08FCR2H7D,0,,6058947,,0,,12,34,,,101,3,15,,,0,0,0,184
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B083FMXKGJ,0,,6056131,,0,,10,30,,,89,3,574,,,0,0,0,5625
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B073YKVGV8,0,,6050351,,0,,6,0,,,0,0,129,,,0,0,0,822
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B07CSKPVLG,0,,6050694,,0,,6,0,,,0,0,644,,,0,0,0,4102
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B073YLF9Z8,0,,6050350,,0,,17,41,,,204,5,0,,,0,0,0,0
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B08CV3CNLP,0,,6058956,,0,,15,28,,,56,2,55,,,0,0,0,809
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B083FMQ1BX,0,,6056141,,0,,7,34,,,34,1,0,,,0,0,0,0
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B00B787Y1M,0,,6048023,,0,,12,0,,,0,0,2,,,0,0,0,25
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B00S0WYZCE,0,,6048891,,0,,15,0,,,0,0,1,,,0,0,0,15
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B083FMS7ZC,0,,6056684,,0,,15,27,,,27,1,27,,,0,0,0,397
106239,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,B07C82RWZD,0,,6050635,,0,,13,0,,,0,0,8,,,0,0,0,102
