Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B0BRQX4SQS,,,,,,0,,0.00,,17,0.00,0,17,,,11,133.39,195.20,0.00
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B08T1D3TD6,,,,,,508,,11.52,,479,1025.53,89,479,,,11,64.57,3385.71,5518.08
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B0CCW7KSR4,,,,,,1000,,16.80,,871,-16.80,-1,871,,,0,0.00,11540.75,14632.80
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B09BFXKX53,,,,,,0,,17.97,,135,71.91,4,135,,,0,0.00,2007.45,2425.95
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B0883LG9XG,,,,,,0,,15.57,,146,607.47,39,146,,,2,22.00,1605.99,2273.22
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B084BJJ5PJ,,,,,,0,,22.47,,24,157.29,7,24,,,2,26.74,260.10,539.28
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B0B6WQ2CVF,,,,,,0,,12.60,,18,37.80,3,18,,,0,0.00,188.10,226.80
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B09SVX2Q7K,,,,,,0,,0.00,,508,0.00,0,508,,,0,0.00,11109.96,0.00
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B0883NB6KZ,,,,,,0,,15.45,,1,185.40,12,1,,,4,44.86,11.39,15.45
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B0BRQXGMVD,,,,,,0,,8.56,,3,34.25,4,3,,,0,0.00,24.00,25.68
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B0B4YWYGXG,,,,,,492,,0.00,,299,0.00,0,299,,,2,19.00,2840.50,0.00
107003,EU01,2024-01-06T00:00:00.000,DE,,EUR,PC,,,B08T5T6HK3,,,,,,,,0.00,,0,0.00,0,0,,,0,0.00,0.00,0.00
