Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NNK8681,778988380307,,6064118,,,0,,36.35,,79,36.35,1,79,,,0,0.00,2093.50,2871.65
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B00I2TTEBC,715833178641,,,,,0,,10.91,,89,174.56,16,89,,,0,0.00,649.70,970.99
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0CM2T29N3,778988671863,,6069584,,,0,,19.42,,15,38.84,2,15,,,0,0.00,199.50,291.30
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B06XW95Z1H,778988238158,,6028845,,,0,,22.72,,34,113.60,5,34,,,0,0.00,544.00,772.48
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0B9SZKGLJ,778988457726,,6066570,,,0,,36.35,,31,399.85,11,31,,,0,0.00,852.50,1126.85
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BRQXVSD4,778988404935,,6067478,,,64,,27.26,,32,54.52,2,32,,,0,0.00,614.40,872.32
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08SR7JJX4,778988406052,,6061801,,,0,,18.17,,183,145.36,8,183,,,1,13.50,2470.50,3325.11
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BT23B1N8,778988460153,,6066730,,,0,,9.09,,113,127.26,14,113,,,0,0.00,745.80,1027.17
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08S6ZHGLG,778988359396,,6060171,,,16,,45.44,,48,136.35,3,48,,,0,0.00,1661.26,2181.12
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NHWPPL6,778988422601,,6064139,,,500,,35.45,,246,35.45,1,246,,,0,0.00,5380.03,8720.70
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BRQXX1PY,778988250006,,6067344,,,0,,27.26,,30,163.56,6,30,,,0,0.00,597.00,817.80
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0C7KWY6JT,778988404959,,6067480,,,0,,18.17,,25,163.53,9,25,,,0,0.00,332.50,454.25
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B097S3FZGX,,,6046325,,,0,,18.17,,11,145.36,8,11,,,0,0.00,115.50,199.87
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08P5XX61C,778988483206,,6058446,,,510,,19.63,,440,117.82,6,440,,,0,0.00,5341.61,8637.20
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NNKRNSZ,778988342732,,6064716,,,0,,0.00,,13,0.00,0,13,,,0,0.00,172.90,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09DDDP3HX,778988426883,,6064469,,,239,,27.26,,4,81.78,3,4,,,0,0.00,96.76,109.04
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NNL21GQ,778988342381,,6064694,,,5,,18.16,,43,90.85,5,43,,,0,0.00,566.70,780.88
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BRT95SYS,778988463048,,6066909,,,0,,40.90,,13,81.80,2,13,,,0,0.00,344.50,531.70
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08P5X2QCH,778988483190,,6058445,,,510,,18.96,,464,75.85,4,464,,,0,0.00,5632.97,8797.44
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08FCR7H8L,778988334294,,6060737,,,0,,14.55,,20,14.55,1,20,,,0,0.00,330.00,291.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NLCKWWW,778988409503,,6063132,,,0,,0.00,,6,0.00,0,6,,,1,19.90,119.40,0.00
