Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Currency,UOM,RetailItemNumber,UPC,GTIN,Material,TCINNo,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,Time,Vendor,Store,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,TotalInvValue
104566,UK01,00,,GBP,PC,549936,,,6055946,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,4,0,10140,2116.00,529,10140,,,40560.00
104566,UK01,00,,GBP,PC,545781,,,6056742,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,6,0.00,0,6,,,48.00
104566,UK01,00,,GBP,PC,545782,,,6056744,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,3,0.00,0,3,,,24.00
104566,UK01,00,,GBP,PC,545786,,,6055934,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8.5,0,2,0.00,0,2,,,17.00
104566,UK01,00,,GBP,PC,548453,,,6060026,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,13,0,2,0.00,0,2,,,26.00
104566,UK01,00,,GBP,PC,545784,,,6056747,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,6,0.00,0,6,,,48.00
104566,UK01,00,,GBP,PC,545783,,,6056746,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,5,0.00,0,5,,,40.00
104566,UK01,00,,GBP,PC,545950,,,6055947,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,6.5,0,4,0.00,0,4,,,26.00
104566,UK01,00,,GBP,PC,549822,,,6060779,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,6.5,0,3,0.00,0,3,,,19.50
104566,UK01,00,,GBP,PC,560507,,,6056440,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,4,0,1704,532.00,133,1704,,,6816.00
104566,UK01,00,,GBP,PC,545787,,,6055952,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,10,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,558417,,,6055412,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,4,0,15962,856.00,214,15962,,,63848.00
104566,UK01,00,,GBP,PC,552730,,,6063041,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,20,0,5,0.00,0,5,,,100.00
104566,UK01,00,,GBP,PC,563904,,,6065425,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,27.99,0,113,727.74,26,113,,,3162.87
104566,UK01,00,,GBP,PC,545789,,,6055411,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,21.6,0,414,475.20,22,414,,,8942.40
104566,UK01,00,,GBP,PC,548167,,,6055747,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,19.99,0,1,0.00,0,1,,,19.99
104566,UK01,00,,GBP,PC,545846,,,6061211,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,2.66,0,6668,547.96,206,6668,,,17736.88
104566,UK01,00,,GBP,PC,548165,,,6058292,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,24.99,0,2,0.00,0,2,,,49.98
104566,UK01,00,,GBP,PC,555934,,,6060469,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,9.99,0,170,1638.36,164,170,,,1698.30
104566,UK01,00,,GBP,PC,556100,,,6064712,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,25,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,557366,,,6060510,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,14.99,0,4,0.00,0,4,,,59.96
104566,UK01,00,,GBP,PC,562206,,,6060523,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,14.99,0,8,0.00,0,8,,,119.92
104566,UK01,00,,GBP,PC,555939,,,6061620,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,6.5,0,337,143.00,22,337,,,2190.50
104566,UK01,00,,GBP,PC,557365,,,6061624,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3.25,0,11244,253.50,78,11244,,,36543.00
104566,UK01,00,,GBP,PC,555936,,,6060654,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3,0,10053,576.00,192,10053,,,30159.00
104566,UK01,00,,GBP,PC,558451,,,6060835,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,4,0,14327,656.00,164,14327,,,57308.00
104566,UK01,00,,GBP,PC,562530,,,6060490,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,9.99,0,19,0.00,0,19,,,189.81
104566,UK01,00,,GBP,PC,562205,,,6060519,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,14.99,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,562207,,,6061615,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,19.99,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,555935,,,6060521,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,10,0,483,500.00,50,483,,,4830.00
104566,UK01,00,,GBP,PC,561762,,,6061619,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3,0,639,42.00,14,639,,,1917.00
104566,UK01,00,,GBP,PC,555937,,,6060659,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,10,0,2267,2190.00,219,2267,,,22670.00
104566,UK01,00,,GBP,PC,561647,,,6064221,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,9.99,0,276,179.82,18,276,,,2757.24
