Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Time,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000199663 ,,,6059020,,,,,8.91,,,18740,2104,21564,,,,,,42050
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000309429 ,,,6062758,,,,,0,,,0,0,16823,,,,,,94879
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000941042 ,,,6061193,,,,,11.55,,,9485,821,16930,,,,,,61794
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000982397 ,,,6061195,,,,,10.29,,,4918,478,15288,,,,,,53509
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000680971 ,,,6055697,,,,,10.46,,,1276,122,3952,,,,,,32093
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000401812 ,,,6052310,,,,,13.4,,,13726,1024,15351,,,,,,121426
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000987316 ,,,0,,,,,0,,,0,0,,,,,,,0
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000348429 ,,,6064575,,,,,11.75,,,4722,402,33409,,,,,,217160
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000348187 ,,,6064574,,,,,11.72,,,5895,503,37115,,,,,,241245
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000912380 ,,,6056509,,,,,7.69,,,6092,792,11185,,,,,,51467
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000913448 ,,,6056507,,,,,7.69,,,4053,527,10793,,,,,,49266
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000913463 ,,,6056508,,,,,7.75,,,4643,599,27939,,,,,,124349
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000292222 ,,,0,,,,,0,,,0,0,,,,,,,177
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000736937 ,,,6059845,,,,,0,,,0,0,0,,,,,,0
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000412050 ,,,6035863,,,,,0,,,0,0,77,,,,,,307
101871,US01,00,,,USD,PC,,,40000410752 ,,,6062342,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000391447 ,,,6041024,,,,,,,,,,0,,,,,,
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000351286 ,,,0,,,,,0,,,0,0,,,,,,,459
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000412051 ,,,6053960,,,,,11,,,22,2,33,,,,,,132
101871,US01,00,,,USD,PC,,,40000411213 ,,,6063724,,,,,,,,,,0,,,,,,
101871,US01,00,,,USD,PC,,,40000411208 ,,,0,,,,,,,,,,,,,,,,
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000411186 ,,,6063746,,,,,3.89,,,70,18,1035,,,,,,4398
101871,US01,00,,,USD,PC,,,40000402036 ,,,6064551,,,,,,,,,,0,,,,,,
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000411255 ,,,0,,,,,0,,,0,0,,,,,,,3
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000411599 ,,,6063745,,,,,11.6,,,58,5,585,,,,,,2485
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000865557 ,,,6059845,,,,,7,,,7,1,146,,,,,,322
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000197554 ,,,6063296,,,,,8.52,,,6704,787,38533,,,,,,105966
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000593144 ,,,6065748,,,,,0,,,0,0,1,,,,,,9
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000201811 ,,,6060475,,,,,0,,,0,0,0,,,,,,0
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000278914 ,,,6056371,,,,,11.61,,,10753,926,21161,,,,,,146854
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000708166 ,,,6053257,,,,,0,,,0,0,0,,,,,,0
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000533991 ,,,6064551,,,,,18.96,,,9025,476,14726,,,,,,170541
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000534177 ,,,6063964,,,,,14,,,9603,686,33867,,,,,,144273
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000534292 ,,,6064596,,,,,11.38,,,8240,724,16184,,,,,,78006
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000440282 ,,,6038611,,,,,7,,,21,3,,,,,,,325
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000613237 ,,,6068257,,,,,10.57,,,1828,173,,,,,,,45374
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000218622 ,,,6063302,,,,,3.87,,,2672,691,,,,,,,39120
101871,US01,00,,2023-12-09T00:00:00.000Z,USD,PC,,,40000611468 ,,,6055412,,,,,5.83,,,2939,504,,,,,,,29057
