Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Time,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,17243952,0004775448000,,6036218,,,0,,5.25,,0,49.7,10,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,22036714,0079586180014,,6038887,,,0,,38.98,,8,0,0,8,,,0,0,0,312
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,37079663,0065356998386,,,,,0,,9.84,,0,-57.32,-5,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,39498036,0004775422560,,,,,0,,15.37,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,39498037,0004775422580,,,,,0,,17.66,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,42496151,0077898809366,,,,,0,,16.99,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,44729653,0077898811573,,,,,0,,9.29,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,46866245,0004775415061,,6030670,,,0,,7.71,,0,2.97,1,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,47458616,0077898807897,,,,,0,,5,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,48205913,0077898821261,,6027246,,,0,,15.93,,0,15.93,1,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,50672362,0077898822900,,6028362,,,0,,14.97,,21,1491.81,111,21,,,0,0,0,314
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,50672365,0077898822739,,,,,0,,16.99,,1,0,0,1,,,0,0,0,17
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,50799048,0077898861379,,6032662,,,0,,29.97,,2,0,0,2,,,0,0,0,60
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,51100795,0079476401811,,,,,0,,19.82,,0,54.22,3,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,51503514,0077898819132,,6047166,,,48,,1.97,,24,186.78,95,24,,,0,0,0,47
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,51503542,0077898819621,,,,,0,,38.99,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,55425967,0077898860711,,,,,0,,17.47,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,55880497,0077898860957,,,,,0,,17.44,,1,14.97,1,1,,,0,0,0,17
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,56091791,0077898820554,,6026980,,,0,,23.99,,28,0,0,28,,,0,0,0,672
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,100063482,0077898854131,,,,,0,,16.99,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,102707162,0077898837268,,6061778,,,0,,36.17,,7303,93.51,3,7303,,,0,0,0,264150
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,103090090,0077898856755,,,,,0,,9.97,,0,29.91,3,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,103334186,0077898813653,,6056239,,,0,,16.74,,4,0,0,4,,,0,0,0,67
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,108928186,0077898839721,,6061714,,,0,,17.79,,0,57.85,3,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,110091645,0077898841951,,6064596,,,0,,8.88,,0,337.15,38,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,110727157,0077898841757,,6063792,,,0,,11.89,,131,0,0,131,,,0,0,0,1558
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,112165510,0077898871582,,6041078,,,0,,10.97,,0,-21.94,-2,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,112486603,0077898820067,,6031565,,,0,,9.52,,577,64.12,9,577,,,0,0,0,5493
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,116115063,0077898839957,,,,,0,,13.64,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,121445887,0077898832809,,6060013,,,0,,28.56,,216,-45,-3,216,,,0,0,0,6169
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,122074663,0077898841758,,6063793,,,0,,12.64,,526,0,0,526,,,0,0,0,6649
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,124119923,0077898815762,,,,,0,,8.58,,6,0,0,6,,,0,0,0,51
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,130151748,0077898859253,,6035960,,,0,,46.98,,608,469.8,10,608,,,0,0,0,28564
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,131749515,0077898833221,,6060503,,,0,,45.48,,1,0,0,1,,,0,0,0,45
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,132546292,0077898826885,,,,,5,,9.97,,3018,99.7,10,3018,,,0,0,0,30089
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,134967800,0077898837415,,6062024,,,0,,5,,0,-75.03,-12,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,136739802,0077898839346,,,,,0,,6.94,,2462,34.7,5,2462,,,0,0,0,17086
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,138121152,0077898836090,,,,,0,,24.99,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,138532282,0077898843616,,6065300,,,0,,9,,1,0,0,1,,,0,0,0,9
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,141585651,0077898856390,,,,,0,,22.7,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,142903344,0077898837104,,,,,0,,16,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,148635886,0077898832255,,,,,0,,10.87,,79,0,0,79,,,0,0,0,859
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,152869088,0077898839615,,6061569,,,0,,26.86,,42,195.01,7,42,,,0,0,0,1128
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,156173232,0077898843611,,6065275,,,0,,16,,0,-16,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,158902270,0004775422570,,,,,0,,15.09,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,161332849,0077898829522,,6055759,,,0,,11.76,,118,11.76,1,118,,,0,0,0,1388
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,163275468,0077898833146,,6060445,,,0,,31.49,,1,0,0,1,,,0,0,0,31
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,165116534,0077898834422,,6064867,,,0,,14.87,,426,35.38,2,426,,,0,0,0,6335
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,168187427,0077898833145,,6060444,,,0,,69.99,,219,0,0,219,,,0,0,0,15328
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,177334466,0077898839824,,6061846,,,0,,9.44,,362,0,0,362,,,0,0,0,3417
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,178268063,0077898830575,,,,,0,,14.99,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,181876618,0004775491999,,6030960,,,0,,9.97,,0,19.94,2,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,183087570,0077898871583,,6041079,,,0,,12.8,,0,1745.16,127,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,183906955,0077898856129,,,,,0,,9.96,,0,0,0,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,184097403,0077898842594,,6064384,,,0,,18.14,,106,18.14,1,106,,,0,0,0,1923
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,185205562,0077898841772,,6063870,,,0,,10,,1,-423.37,-53,1,,,0,0,0,10
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,191326244,0077898837705,,6063084,,,0,,6.97,,0,34.85,5,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,192006727,0077898838213,,6064452,,,0,,26.88,,0,414.69,16,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,192257399,0077898829861,,6056210,,,0,,48.97,,0,334.83,8,0,,,0,0,0,0
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,192563010,0077898845094,,6069294,,,16,,5,,2032,469.39,88,2032,,,0,0,0,10160
101924,US01,00,,2024-01-06T00:00:00.000Z,USD,PC,0,,194193554,0077898836348,,6060350,,,0,,6.77,,1798,13.54,2,1798,,,0,0,0,12172
