Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B1TSRCK6,,,,,,0,,0.00,,326,0.00,0,326,,,0,0.00,5688.84,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B4YFFDVP,,,,,,,,19.16,,10,38.32,2,10,,,0,0.00,143.70,191.60
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08P5X2QCH,,,,,,12,,12.49,,38,374.70,30,38,,,0,0.00,297.18,474.62
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09B2KBM4X,,,,,,0,,15.62,,0,15.62,1,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B084BJJ5PJ,,,,,,0,,23.32,,0,93.28,4,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08P3VVL31,,,,,,,,40.48,,1,40.48,1,1,,,0,0.00,21.85,40.48
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0CCW38ZKZ,,,,,,650,,10.82,,346,411.16,38,346,,,0,0.00,2860.63,3743.72
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08S71687H,,,,,,,,0.00,,95,0.00,0,95,,,0,0.00,1431.78,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08T23392Q,,,,,,,,12.49,,113,24.98,2,113,,,0,0.00,828.49,1411.37
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B084BNW2PW,,,,,,0,,0.00,,1,0.00,0,1,,,0,0.00,19.79,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09J8DZC68,,,,,,0,,8.32,,1201,158.08,19,1201,,,0,0.00,7022.36,9992.32
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09577C387,,,,,,0,,16.58,,748,712.94,43,748,,,0,0.00,6102.91,12401.84
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08SR7JJX4,,,,,,658,,10.82,,1263,1817.76,168,1263,,,0,0.00,10608.27,13665.66
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08N6YQFQR,,,,,,2952,,10.81,,8,400.34,37,8,,,0,0.00,60.96,86.48
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08S6ZJ8DM,,,,,,0,,14.16,,0,354.00,25,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BRT95SYS,,,,,,978,,25.11,,354,853.83,34,354,,,1,23.74,5050.46,8888.94
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08GQ8MRGM,,,,,,0,,0.00,,55,0.00,0,55,,,0,0.00,529.10,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B4YLLV8J,,,,,,120,,20.82,,74,166.56,8,74,,,0,0.00,1107.04,1540.68
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08T24V5ZH,,,,,,0,,13.85,,138,13.85,1,138,,,0,0.00,981.18,1911.30
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09BFYNKTX,,,,,,,,0.00,,4,0.00,0,4,,,0,0.00,33.40,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09NHWPPL6,,,,,,0,,0.00,,1,0.00,0,1,,,2,28.50,13.98,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0CCW262CJ,,,,,,440,,10.82,,164,64.92,6,164,,,0,0.00,1478.52,1774.48
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B63HN5TR,,,,,,0,,10.82,,147,32.46,3,147,,,0,0.00,1193.64,1590.54
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08N6SP2P1,,,,,,6,,10.82,,519,238.04,22,519,,,0,0.00,2957.39,5615.58
