Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Time,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6060744,,0,,0,60,,,31615,527,6695,,,0,0,0,401633
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6060234,,0,,0,100,,,25497,255,2229,,,0,0,0,222878
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6060745,,0,,0,60,,,10198,170,6563,,,0,0,0,393714
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6065441,,0,,0,90,,,12689,141,5341,,,0,0,0,480637
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6064643,,0,,0,60,,,6419,107,1032,,,0,0,0,61910
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6060746,,0,,0,60,,,5279,88,724,,,0,0,0,43433
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6060747,,0,,0,60,,,5039,84,2161,,,0,0,0,129638
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6061791,,0,,0,60,,,4979,83,1314,,,0,0,0,78827
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6064847,,0,,0,60,,,4079,68,1287,,,0,0,0,77207
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6053097,,0,,0,65,,,4005,62,931,,,0,0,0,60133
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6064849,,0,,0,60,,,3059,51,2325,,,0,0,0,139477
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6064257,,0,,0,60,,,2520,42,354,,,0,0,0,21236
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6064081,,0,,0,60,,,1740,29,1055,,,0,0,0,63289
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6063635,,0,,0,60,,,1560,26,670,,,0,0,0,40193
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6068228,,0,,0,60,,,1260,21,170,,,0,0,0,10198
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6066379,,0,,0,60,,,1140,19,318,,,0,0,0,19077
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6056385,,0,,0,76,,,758,10,38,,,0,0,0,2880
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6038851,,0,,0,60,,,360,6,59,,,0,0,0,3539
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6060121,,0,,0,50,,,300,6,137,,,0,0,0,6849
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6047209,,0,,0,64,,,320,5,269,,,0,0,0,17216
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6038673,,0,,0,40,,,120,3,3767,,,0,0,0,150642
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6038664,,0,,0,30,,,90,3,170,,,0,0,0,5098
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6038668,,0,,0,40,,,80,2,38,,,0,0,0,1520
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6038884,,0,,0,33,,,66,2,742,,,0,0,0,24479
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6038850,,0,,0,0,,,0,0,13,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6042176,,0,,0,0,,,0,0,3,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6058709,,0,,0,0,,,0,0,1,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6047200,,0,,0,0,,,0,0,1,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6053590,,0,,0,0,,,0,0,97,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6056647,,0,,0,0,,,0,0,173,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6053589,,0,,0,0,,,0,0,56,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6053588,,0,,0,0,,,0,0,22,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6060074,,0,,0,0,,,0,0,1,,,0,0,0,0
123310,US01,00,,0023-12-30T00:00:00.000Z,USD,PC,,,0,0,,6042172,,0,,0,0,,,0,0,1,,,0,0,0,0
