Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Time,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6056778,,,,,12.39,,3176,557.55,45,3176,,,0,0,0,39351
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6056779,,,,,12.39,,2584,334.53,27,2584,,,0,0,0,32016
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061175,,,,,28.92,,42,144.6,5,42,,,0,0,0,1215
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061804,,,,,12.51,,745,663.27,53,745,,,0,0,0,9323
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6060435,,,,,19.9,,1,0,0,1,,,0,0,0,20
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061802,,,,,12.4,,1453,892.71,72,1453,,,0,0,0,18015
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061907,,,,,12.76,,1343,1135.58,89,1343,,,0,0,0,17136
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061910,,,,,24.21,,367,24.21,1,367,,,0,0,0,8885
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061908,,,,,20.83,,208,187.47,9,208,,,0,0,0,4333
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6044955,,,,,20.65,,538,144.55,7,538,,,0,0,0,11110
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6060436,,,,,24.21,,51,72.63,3,51,,,0,0,0,1235
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061800,,,,,12.53,,373,639.09,51,373,,,0,0,0,4674
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061803,,,,,12.5,,860,862.32,69,860,,,0,0,0,10748
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6062260,,,,,15.43,,393,61.72,4,393,,,0,0,0,6064
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6059329,,,,,23.48,,868,187.84,8,868,,,0,0,0,20381
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061909,,,,,19.9,,0,0,0,0,,,0,0,0,0
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6061798,,,,,12.39,,1019,1065.54,86,1019,,,0,0,0,12625
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6060346,,,,,12.39,,71,99.12,8,71,,,0,0,0,880
124173,ES02,00,,2023-08-12T00:00:00.000Z,EUR,PC,0,,,,,6062275,,,,,19.07,,164,95.33,5,164,,,0,0,0,3127
