Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0B4Y76VNB,,,,,,501,,40.91,,59,531.83,13,59,,,0,0.00,1888.00,2413.69
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0CDFJNY8D,,,,,,0,,54.54,,62,109.08,2,62,,,0,0.00,2480.00,3381.48
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BSFVQXMF,,,,,,0,,15.99,,4,15.99,1,4,,,0,0.00,54.00,63.96
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NLCD12R,,,,,,,,0.00,,381,0.00,0,381,,,0,0.00,16108.70,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B074XP4CGF,,,,,,0,,27.25,,540,190.82,7,540,,,0,0.00,6800.65,14715.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BRT5Y276,,,,,,20,,0.00,,0,0.00,0,,,,0,0.00,0.00,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08TTQ1JDF,,,,,,0,,35.45,,284,141.80,4,284,,,0,0.00,6100.33,10067.80
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08FCR7H8L,,,,,,0,,14.55,,20,14.55,1,20,,,0,0.00,330.00,291.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NLB1SWH,,,,,,0,,35.44,,22,106.35,3,22,,,0,0.00,544.50,779.68
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08P5WM4WH,,,,,,0,,20.41,,371,122.46,6,371,,,0,0.00,4503.94,7572.11
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0B6WRJ8J9,,,,,,0,,0.00,,17,0.00,0,17,,,0,0.00,338.30,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B08T1F4HRZ,,,,,,0,,0.00,,6,0.00,0,6,,,0,0.00,81.00,0.00
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B0BRT9DFFX,,,,,,0,,45.41,,425,136.23,3,425,,,0,0.00,15661.27,19299.25
116419,AU01,2024-01-06T00:00:00.000,00,,AUD,PC,,,B09NF78XBZ,,,,,,0,,21.38,,313,106.90,5,313,,,0,0.00,4175.42,6691.94
